# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.101853 0.808292
0.080808 0.203707 1.600739
0.121212 0.305560 2.377340
0.161616 0.407413 3.138095
0.202020 0.509267 3.883005
0.242424 0.611120 4.612069
0.282828 0.712973 5.325288
0.323232 0.814827 6.022661
0.363636 0.916680 6.704188
0.404040 1.018533 7.369871
0.444444 1.120387 8.019707
0.484848 1.222240 8.653698
0.525253 1.324094 9.271843
0.565657 1.425947 9.874143
0.606061 1.527800 10.460597
0.646465 1.629654 11.031206
0.686869 1.731507 11.585969
0.727273 1.833360 12.124886
0.767677 1.935214 12.647958
0.808081 2.037067 13.155185
0.848485 2.138920 13.646566
0.888889 2.240774 14.122101
0.929293 2.342627 14.581791
0.969697 2.444480 15.025635
1.010101 2.546334 15.453633
1.050505 2.648187 15.865786
1.090909 2.750040 16.262094
1.131313 2.851894 16.642556
1.171717 2.953747 17.007172
1.212121 3.055600 17.355943
1.252525 3.157454 17.688868
1.292929 3.259307 18.005948
1.333333 3.361160 18.307182
1.373737 3.463014 18.592570
1.414141 3.564867 18.862113
1.454545 3.666721 19.115811
1.494949 3.768574 19.353662
1.535354 3.870427 19.575669
1.575758 3.972281 19.781829
1.616162 4.074134 19.972145
1.656566 4.175987 20.146614
1.696970 4.277841 20.305238
1.737374 4.379694 20.448017
1.777778 4.481547 20.574949
1.818182 4.583401 20.686037
1.858586 4.685254 20.781279
1.898990 4.787107 20.860675
1.939394 4.888961 20.924225
1.979798 4.990814 20.971931
2.020202 5.092667 21.003790
2.060606 5.194521 21.019804
2.101010 5.296374 21.019972
2.141414 5.398227 21.004295
2.181818 5.500081 20.972772
2.222222 5.601934 20.925404
2.262626 5.703787 20.862190
2.303030 5.805641 20.783131
2.343434 5.907494 20.688226
2.383838 6.009348 20.577475
2.424242 6.111201 20.450879
2.464646 6.213054 20.308438
2.505051 6.314908 20.150150
2.545455 6.416761 19.976018
2.585859 6.518614 19.786039
2.626263 6.620468 19.580215
2.666667 6.722321 19.358546
2.707071 6.824174 19.121031
2.747475 6.926028 18.867670
2.787879 7.027881 18.598464
2.828283 7.129734 18.313412
2.868687 7.231588 18.012515
2.909091 7.333441 17.695772
2.949495 7.435294 17.363184
2.989899 7.537148 17.014750
3.030303 7.639001 16.650470
3.070707 7.740854 16.270345
3.111111 7.842708 15.874374
3.151515 7.944561 15.462558
3.191919 8.046414 15.034896
3.232323 8.148268 14.591389
3.272727 8.250121 14.132036
3.313131 8.351975 13.656838
3.353535 8.453828 13.165794
3.393939 8.555681 12.658904
3.434343 8.657535 12.136169
3.474747 8.759388 11.597588
3.515152 8.861241 11.043162
3.555556 8.963095 10.472890
3.595960 9.064948 9.886772
3.636364 9.166801 9.284809
3.676768 9.268655 8.667001
3.717172 9.370508 8.033347
3.757576 9.472361 7.383847
3.797980 9.574215 6.718502
3.838384 9.676068 6.037311
3.878788 9.777921 5.340275
3.919192 9.879775 4.627393
3.959596 9.981628 3.898665
4.000000 10.083481 3.154092
