# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.107267 0.939447
0.080808 0.214534 1.862931
0.121212 0.321801 2.770454
0.161616 0.429069 3.662014
0.202020 0.536336 4.537611
0.242424 0.643603 5.397247
0.282828 0.750870 6.240920
0.323232 0.858137 7.068631
0.363636 0.965404 7.880379
0.404040 1.072671 8.676166
0.444444 1.179939 9.455990
0.484848 1.287206 10.219851
0.525253 1.394473 10.967751
0.565657 1.501740 11.699688
0.606061 1.609007 12.415663
0.646465 1.716274 13.115676
0.686869 1.823541 13.799726
0.727273 1.930809 14.467814
0.767677 2.038076 15.119940
0.808081 2.145343 15.756104
0.848485 2.252610 16.376305
0.888889 2.359877 16.980544
0.929293 2.467144 17.568821
0.969697 2.574411 18.141136
1.010101 2.681679 18.697488
1.050505 2.788946 19.237878
1.090909 2.896213 19.762306
1.131313 3.003480 20.270771
1.171717 3.110747 20.763274
1.212121 3.218014 21.239815
1.252525 3.325281 21.700394
1.292929 3.432549 22.145010
1.333333 3.539816 22.573664
1.373737 3.647083 22.986356
1.414141 3.754350 23.383085
1.454545 3.861617 23.763853
1.494949 3.968884 24.128658
1.535354 4.076151 24.477500
1.575758 4.183419 24.810381
1.616162 4.290686 25.127299
1.656566 4.397953 25.428255
1.696970 4.505220 25.713248
1.737374 4.612487 25.982280
1.777778 4.719754 26.235349
1.818182 4.827021 26.472456
1.858586 4.934289 26.693600
1.898990 5.041556 26.898782
1.939394 5.148823 27.088002
1.979798 5.256090 27.261260
2.020202 5.363357 27.418556
2.060606 5.470624 27.559889
2.101010 5.577891 27.685260
2.141414 5.685159 27.794668
2.181818 5.792426 27.888115
2.222222 5.899693 27.965599
2.262626 6.006960 28.027121
2.303030 6.114227 28.072680
2.343434 6.221494 28.102277
2.383838 6.328761 28.115912
2.424242 6.436028 28.113585
2.464646 6.543296 28.095295
2.505051 6.650563 28.061044
2.545455 6.757830 28.010829
2.585859 6.865097 27.944653
2.626263 6.972364 27.862514
2.666667 7.079631 27.764414
2.707071 7.186898 27.650350
2.747475 7.294166 27.520325
2.787879 7.401433 27.374337
2.828283 7.508700 27.212387
2.868687 7.615967 27.034475
2.909091 7.723234 26.840600
2.949495 7.830501 26.630763
2.989899 7.937768 26.404964
3.030303 8.045036 26.163203
3.070707 8.152303 25.905479
3.111111 8.259570 25.631793
3.151515 8.366837 25.342145
3.191919 8.474104 25.036535
3.232323 8.581371 24.714962
3.272727 8.688638 24.377427
3.313131 8.795906 24.023930
3.353535 8.903173 23.654470
3.393939 9.010440 23.269048
3.434343 9.117707 22.867664
3.474747 9.224974 22.450318
3.515152 9.332241 22.017009
3.555556 9.439508 21.567738
3.595960 9.546776 21.102505
3.636364 9.654043 20.621310
3.676768 9.761310 20.124152
3.717172 9.868577 19.611032
3.757576 9.975844 19.081950
3.797980 10.083111 18.536905
3.838384 10.190378 17.975898
3.878788 10.297646 17.398929
3.919192 10.404913 16.805998
3.959596 10.512180 16.197104
4.000000 10.619447 15.572248
