# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.103580 0.534420
0.080808 0.207160 1.052918
0.121212 0.310740 1.555494
0.161616 0.414320 2.042148
0.202020 0.517900 2.512881
0.242424 0.621480 2.967692
0.282828 0.725060 3.406581
0.323232 0.828640 3.829549
0.363636 0.932220 4.236595
0.404040 1.035801 4.627719
0.444444 1.139381 5.002921
0.484848 1.242961 5.362202
0.525253 1.346541 5.705561
0.565657 1.450121 6.032998
0.606061 1.553701 6.344514
0.646465 1.657281 6.640108
0.686869 1.760861 6.919780
0.727273 1.864441 7.183530
0.767677 1.968021 7.431358
0.808081 2.071601 7.663265
0.848485 2.175181 7.879250
0.888889 2.278761 8.079314
0.929293 2.382341 8.263456
0.969697 2.485921 8.431676
1.010101 2.589501 8.583974
1.050505 2.693081 8.720350
1.090909 2.796661 8.840805
1.131313 2.900242 8.945338
1.171717 3.003822 9.033949
1.212121 3.107402 9.106639
1.252525 3.210982 9.163407
1.292929 3.314562 9.204253
1.333333 3.418142 9.229177
1.373737 3.521722 9.238180
1.414141 3.625302 9.231261
1.454545 3.728882 9.208420
1.494949 3.832462 9.169658
1.535354 3.936042 9.114974
1.575758 4.039622 9.044368
1.616162 4.143202 8.957840
1.656566 4.246782 8.855391
1.696970 4.350362 8.737019
1.737374 4.453942 8.602727
1.777778 4.557522 8.452512
1.818182 4.661102 8.286376
1.858586 4.764682 8.104318
1.898990 4.868263 7.906338
1.939394 4.971843 7.692436
1.979798 5.075423 7.462613
2.020202 5.179003 7.216868
2.060606 5.282583 6.955202
2.101010 5.386163 6.677613
2.141414 5.489743 6.384103
2.181818 5.593323 6.074671
2.222222 5.696903 5.749318
2.262626 5.800483 5.408042
2.303030 5.904063 5.050845
2.343434 6.007643 4.677727
2.383838 6.111223 4.288686
2.424242 6.214803 3.883724
2.464646 6.318383 3.462840
2.505051 6.421963 3.026034
2.545455 6.525543 2.573307
2.585859 6.629123 2.104658
2.626263 6.732704 1.620087
2.666667 6.836284 1.119594
2.707071 6.939864 0.603180
2.747475 7.043444 0.070844
2.787879 7.147024 -0.477414
2.828283 7.250604 -1.041593
2.868687 7.354184 -1.621694
2.909091 7.457764 -2.217717
2.949495 7.561344 -2.829662
2.989899 7.664924 -3.457528
3.030303 7.768504 -4.101317
3.070707 7.872084 -4.761026
3.111111 7.975664 -5.436658
3.151515 8.079244 -6.128211
3.191919 8.182824 -6.835686
3.232323 8.286404 -7.559083
3.272727 8.389984 -8.298402
3.313131 8.493564 -9.053642
3.353535 8.597145 -9.824804
3.393939 8.700725 -10.611887
3.434343 8.804305 -11.414893
3.474747 8.907885 -12.233820
3.515152 9.011465 -13.068669
3.555556 9.115045 -13.919439
3.595960 9.218625 -14.786131
3.636364 9.322205 -15.668746
3.676768 9.425785 -16.567281
3.717172 9.529365 -17.481739
3.757576 9.632945 -18.412118
3.797980 9.736525 -19.358419
3.838384 9.840105 -20.320641
3.878788 9.943685 -21.298786
3.919192 10.047265 -22.292852
3.959596 10.150845 -23.302840
4.000000 10.254425 -24.328749
