# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.031045 1.065537
0.080808 0.062089 2.115129
0.121212 0.093134 3.148778
0.161616 0.124179 4.166482
0.202020 0.155224 5.168242
0.242424 0.186268 6.154057
0.282828 0.217313 7.123928
0.323232 0.248358 8.077855
0.363636 0.279402 9.015838
0.404040 0.310447 9.937876
0.444444 0.341492 10.843970
0.484848 0.372537 11.734120
0.525253 0.403581 12.608325
0.565657 0.434626 13.466586
0.606061 0.465671 14.308903
0.646465 0.496715 15.135276
0.686869 0.527760 15.945704
0.727273 0.558805 16.740188
0.767677 0.589850 17.518728
0.808081 0.620894 18.281324
0.848485 0.651939 19.027975
0.888889 0.682984 19.758682
0.929293 0.714028 20.473444
0.969697 0.745073 21.172263
1.010101 0.776118 21.855137
1.050505 0.807163 22.522067
1.090909 0.838207 23.173052
1.131313 0.869252 23.808093
1.171717 0.900297 24.427190
1.212121 0.931341 25.030343
1.252525 0.962386 25.617551
1.292929 0.993431 26.188815
1.333333 1.024476 26.744135
1.373737 1.055520 27.283511
1.414141 1.086565 27.806942
1.454545 1.117610 28.314429
1.494949 1.148654 28.805972
1.535354 1.179699 29.281570
1.575758 1.210744 29.741224
1.616162 1.241789 30.184934
1.656566 1.272833 30.612700
1.696970 1.303878 31.024521
1.737374 1.334923 31.420398
1.777778 1.365967 31.800330
1.818182 1.397012 32.164319
1.858586 1.428057 32.512363
1.898990 1.459102 32.844463
1.939394 1.490146 33.160618
1.979798 1.521191 33.460830
2.020202 1.552236 33.745097
2.060606 1.583280 34.013419
2.101010 1.614325 34.265798
2.141414 1.645370 34.502232
2.181818 1.676415 34.722722
2.222222 1.707459 34.927268
2.262626 1.738504 35.115869
2.303030 1.769549 35.288526
2.343434 1.800593 35.445239
2.383838 1.831638 35.586007
2.424242 1.862683 35.710831
2.464646 1.893728 35.819711
2.505051 1.924772 35.912647
2.545455 1.955817 35.989638
2.585859 1.986862 36.050685
2.626263 2.017906 36.095788
2.666667 2.048951 36.124946
2.707071 2.079996 36.138160
2.747475 2.111041 36.135430
2.787879 2.142085 36.116756
2.828283 2.173130 36.082137
2.868687 2.204175 36.031574
2.909091 2.235219 35.965067
2.949495 2.266264 35.882616
2.989899 2.297309 35.784220
3.030303 2.328353 35.669880
3.070707 2.359398 35.539595
3.111111 2.390443 35.393367
3.151515 2.421488 35.231194
3.191919 2.452532 35.053077
3.232323 2.483577 34.859015
3.272727 2.514622 34.649009
3.313131 2.545666 34.423059
3.353535 2.576711 34.181165
3.393939 2.607756 33.923326
3.434343 2.638801 33.649543
3.474747 2.669845 33.359816
3.515152 2.700890 33.054145
3.555556 2.731935 32.732529
3.595960 2.762979 32.394969
3.636364 2.794024 32.041465
3.676768 2.825069 31.672016
3.717172 2.856114 31.286623
3.757576 2.887158 30.885286
3.797980 2.918203 30.468005
3.838384 2.949248 30.034779
3.878788 2.980292 29.585609
3.919192 3.011337 29.120494
3.959596 3.042382 28.639436
4.000000 3.073427 28.142433
