# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.054591 0.720706
0.080808 0.109182 1.425538
0.121212 0.163773 2.114497
0.161616 0.218364 2.787583
0.202020 0.272955 3.444795
0.242424 0.327546 4.086135
0.282828 0.382137 4.711600
0.323232 0.436728 5.321193
0.363636 0.491319 5.914911
0.404040 0.545910 6.492757
0.444444 0.600501 7.054729
0.484848 0.655092 7.600828
0.525253 0.709683 8.131054
0.565657 0.764274 8.645406
0.606061 0.818865 9.143885
0.646465 0.873456 9.626490
0.686869 0.928047 10.093223
0.727273 0.982638 10.544081
0.767677 1.037229 10.979067
0.808081 1.091820 11.398179
0.848485 1.146411 11.801418
0.888889 1.201002 12.188783
0.929293 1.255593 12.560275
0.969697 1.310184 12.915894
1.010101 1.364775 13.255639
1.050505 1.419366 13.579511
1.090909 1.473957 13.887510
1.131313 1.528548 14.179635
1.171717 1.583139 14.455887
1.212121 1.637730 14.716265
1.252525 1.692321 14.960771
1.292929 1.746912 15.189402
1.333333 1.801503 15.402161
1.373737 1.856094 15.599046
1.414141 1.910685 15.780058
1.454545 1.965276 15.945196
1.494949 2.019867 16.094461
1.535354 2.074458 16.227853
1.575758 2.129049 16.345371
1.616162 2.183640 16.447016
1.656566 2.238231 16.532788
1.696970 2.292822 16.602686
1.737374 2.347413 16.656711
1.777778 2.402004 16.694863
1.818182 2.456595 16.717141
1.858586 2.511186 16.723546
1.898990 2.565777 16.714078
1.939394 2.620368 16.688736
1.979798 2.674959 16.647521
2.020202 2.729550 16.590432
2.060606 2.784141 16.517470
2.101010 2.838732 16.428635
2.141414 2.893323 16.323926
2.181818 2.947914 16.203345
2.222222 3.002505 16.066889
2.262626 3.057096 15.914561
2.303030 3.111687 15.746359
2.343434 3.166278 15.562283
2.383838 3.220869 15.362335
2.424242 3.275460 15.146513
2.464646 3.330051 14.914817
2.505051 3.384642 14.667248
2.545455 3.439233 14.403806
2.585859 3.493824 14.124491
2.626263 3.548415 13.829302
2.666667 3.603006 13.518240
2.707071 3.657597 13.191304
2.747475 3.712188 12.848495
2.787879 3.766779 12.489813
2.828283 3.821370 12.115258
2.868687 3.875961 11.724829
2.909091 3.930552 11.318526
2.949495 3.985143 10.896351
2.989899 4.039734 10.458302
3.030303 4.094325 10.004379
3.070707 4.148916 9.534584
3.111111 4.203507 9.048915
3.151515 4.258098 8.547372
3.191919 4.312689 8.029956
3.232323 4.367280 7.496667
3.272727 4.421871 6.947505
3.313131 4.476462 6.382469
3.353535 4.531053 5.801560
3.393939 4.585644 5.204777
3.434343 4.640235 4.592121
3.474747 4.694826 3.963592
3.515152 4.749417 3.319190
3.555556 4.804008 2.658914
3.595960 4.858599 1.982764
3.636364 4.913190 1.290742
3.676768 4.967781 0.582846
3.717172 5.022372 -0.140924
3.757576 5.076963 -0.880566
3.797980 5.131554 -1.636082
3.838384 5.186145 -2.407472
3.878788 5.240736 -3.194735
3.919192 5.295327 -3.997871
3.959596 5.349918 -4.816880
4.000000 5.404509 -5.651763
