# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.021059 0.426614
0.080808 0.042117 0.837377
0.121212 0.063176 1.232288
0.161616 0.084235 1.611348
0.202020 0.105293 1.974557
0.242424 0.126352 2.321915
0.282828 0.147411 2.653422
0.323232 0.168469 2.969077
0.363636 0.189528 3.268881
0.404040 0.210587 3.552834
0.444444 0.231645 3.820936
0.484848 0.252704 4.073186
0.525253 0.273763 4.309585
0.565657 0.294821 4.530133
0.606061 0.315880 4.734830
0.646465 0.336939 4.923675
0.686869 0.357997 5.096670
0.727273 0.379056 5.253813
0.767677 0.400115 5.395105
0.808081 0.421173 5.520545
0.848485 0.442232 5.630134
0.888889 0.463291 5.723873
0.929293 0.484349 5.801759
0.969697 0.505408 5.863795
1.010101 0.526467 5.909980
1.050505 0.547525 5.940313
1.090909 0.568584 5.954795
1.131313 0.589643 5.953425
1.171717 0.610701 5.936205
1.212121 0.631760 5.903133
1.252525 0.652819 5.854210
1.292929 0.673877 5.789436
1.333333 0.694936 5.708811
1.373737 0.715995 5.612334
1.414141 0.737053 5.500006
1.454545 0.758112 5.371827
1.494949 0.779170 5.227797
1.535354 0.800229 5.067915
1.575758 0.821288 4.892182
1.616162 0.842346 4.700598
1.656566 0.863405 4.493163
1.696970 0.884464 4.269877
1.737374 0.905522 4.030739
1.777778 0.926581 3.775750
1.818182 0.947640 3.504910
1.858586 0.968698 3.218218
1.898990 0.989757 2.915676
1.939394 1.010816 2.597282
1.979798 1.031874 2.263037
2.020202 1.052933 1.912940
2.060606 1.073992 1.546993
2.101010 1.095050 1.165194
2.141414 1.116109 0.767544
2.181818 1.137168 0.354043
2.222222 1.158226 -0.075310
2.262626 1.179285 -0.520513
2.303030 1.200344 -0.981568
2.343434 1.221402 -1.458474
2.383838 1.242461 -1.951232
2.424242 1.263520 -2.459840
2.464646 1.284578 -2.984300
2.505051 1.305637 -3.524611
2.545455 1.326696 -4.080774
2.585859 1.347754 -4.652787
2.626263 1.368813 -5.240652
2.666667 1.389872 -5.844368
2.707071 1.410930 -6.463935
2.747475 1.431989 -7.099354
2.787879 1.453048 -7.750623
2.828283 1.474106 -8.417744
2.868687 1.495165 -9.100716
2.909091 1.516224 -9.799540
2.949495 1.537282 -10.514214
2.989899 1.558341 -11.244740
3.030303 1.579400 -11.991117
3.070707 1.600458 -12.753345
3.111111 1.621517 -13.531425
3.151515 1.642576 -14.325356
3.191919 1.663634 -15.135138
3.232323 1.684693 -15.960771
3.272727 1.705752 -16.802255
3.313131 1.726810 -17.659591
3.353535 1.747869 -18.532778
3.393939 1.768928 -19.421816
3.434343 1.789986 -20.326705
3.474747 1.811045 -21.247446
3.515152 1.832104 -22.184038
3.555556 1.853162 -23.136481
3.595960 1.874221 -24.104775
3.636364 1.895280 -25.088921
3.676768 1.916338 -26.088917
3.717172 1.937397 -27.104765
3.757576 1.958456 -28.136465
3.797980 1.979514 -29.184015
3.838384 2.000573 -30.247417
3.878788 2.021632 -31.326669
3.919192 2.042690 -32.421774
3.959596 2.063749 -33.532729
4.000000 2.084808 -34.659536
