# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.008575 0.773726
0.080808 0.017151 1.531378
0.121212 0.025726 2.272956
0.161616 0.034301 2.998459
0.202020 0.042877 3.707888
0.242424 0.051452 4.401243
0.282828 0.060028 5.078524
0.323232 0.068603 5.739731
0.363636 0.077178 6.384864
0.404040 0.085754 7.013922
0.444444 0.094329 7.626906
0.484848 0.102904 8.223816
0.525253 0.111480 8.804652
0.565657 0.120055 9.369414
0.606061 0.128631 9.918101
0.646465 0.137206 10.450714
0.686869 0.145781 10.967254
0.727273 0.154357 11.467718
0.767677 0.162932 11.952109
0.808081 0.171507 12.420426
0.848485 0.180083 12.872668
0.888889 0.188658 13.308836
0.929293 0.197234 13.728930
0.969697 0.205809 14.132950
1.010101 0.214384 14.520896
1.050505 0.222960 14.892767
1.090909 0.231535 15.248564
1.131313 0.240110 15.588287
1.171717 0.248686 15.911936
1.212121 0.257261 16.219511
1.252525 0.265837 16.511011
1.292929 0.274412 16.786438
1.333333 0.282987 17.045790
1.373737 0.291563 17.289068
1.414141 0.300138 17.516272
1.454545 0.308713 17.727401
1.494949 0.317289 17.922457
1.535354 0.325864 18.101438
1.575758 0.334440 18.264345
1.616162 0.343015 18.411178
1.656566 0.351590 18.541936
1.696970 0.360166 18.656621
1.737374 0.368741 18.755231
1.777778 0.377316 18.837767
1.818182 0.385892 18.904229
1.858586 0.394467 18.954617
1.898990 0.403043 18.988931
1.939394 0.411618 19.007170
1.979798 0.420193 19.009335
2.020202 0.428769 18.995426
2.060606 0.437344 18.965443
2.101010 0.445919 18.919386
2.141414 0.454495 18.857254
2.181818 0.463070 18.779048
2.222222 0.471646 18.684769
2.262626 0.480221 18.574414
2.303030 0.488796 18.447986
2.343434 0.497372 18.305484
2.383838 0.505947 18.146907
2.424242 0.514522 17.972256
2.464646 0.523098 17.781531
2.505051 0.531673 17.574732
2.545455 0.540249 17.351859
2.585859 0.548824 17.112911
2.626263 0.557399 16.857889
2.666667 0.565975 16.586793
2.707071 0.574550 16.299623
2.747475 0.583125 15.996379
2.787879 0.591701 15.677060
2.828283 0.600276 15.341668
2.868687 0.608852 14.990201
2.909091 0.617427 14.622660
2.949495 0.626002 14.239045
2.989899 0.634578 13.839355
3.030303 0.643153 13.423592
3.070707 0.651728 12.991754
3.111111 0.660304 12.543842
3.151515 0.668879 12.079856
3.191919 0.677455 11.599795
3.232323 0.686030 11.103661
3.272727 0.694605 10.591452
3.313131 0.703181 10.063169
3.353535 0.711756 9.518812
3.393939 0.720331 8.958381
3.434343 0.728907 8.381876
3.474747 0.737482 7.789296
3.515152 0.746057 7.180642
3.555556 0.754633 6.555914
3.595960 0.763208 5.915112
3.636364 0.771784 5.258236
3.676768 0.780359 4.585285
3.717172 0.788934 3.896260
3.757576 0.797510 3.191161
3.797980 0.806085 2.469988
3.838384 0.814660 1.732741
3.878788 0.823236 0.979420
3.919192 0.831811 0.210024
3.959596 0.840387 -0.575446
4.000000 0.848962 -1.376990
